名称,名称_カナ,名称_英字,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
金沢市中央公民館長町館,カナザワシチュウオウコウミンカンチョウチョウカン,kanazawashichuokominkanchochokan,金沢市長町２丁目２番43号,石川県,金沢市,長町2丁目,2番43号,,36.56317135,136.650077,17,,1,1,,1,1,,,,1,,,,,,
金沢市長町公民館,カナザワシチョウチョウコウミンカン,kanazawashichochokominkan,金沢市長町２丁目２番16号,石川県,金沢市,長町2丁目,2番16号,,36.56335101,136.6492396,17,,1,1,,1,1,,,,1,,,,,,
長町緑地,ナガマチリョクチ,nagamachiryokuchi,金沢市長町２丁目２番43号,石川県,金沢市,長町2丁目,2番43号,,36.5627614,136.6499541,17,,,1,,1,1,,,,,,,,,,
金沢市松ヶ枝公民館,カナザワシマツガエコウミンカン,kanazawashimatsugaekominkan,金沢市高岡町７番23号,石川県,金沢市,高岡町,7番23号,,36.56984623,136.6528536,16,,1,1,,1,1,,,,1,,,,,,
近江町いちば館,オウミチョウイチバカン,omichoichibakan,金沢市青草町88番地,石川県,金沢市,青草町,88番地,,36.57151325,136.655908,19,,1,1,,1,1,,,,1,,,,,,
金沢市文化ホール,カナザワシブンカホール,kanazawashibunkahoru,金沢市高岡町15番１号,石川県,金沢市,高岡町,15番1号,,36.56661689,136.652371,21,,1,1,,1,1,,,,1,,,,,,
松ヶ枝緑地,マツダエリョクチ,matsudaeryokuchi,金沢市高岡町188番地２ほか,石川県,金沢市,高岡町,188番地2ほか,,36.56962748,136.6527016,17,,1,1,,1,1,,,,,,,,,,
金沢市長土塀公民館,カナザワシナガドヘコウミンカン,kanazawashinagadohekominkan,金沢市長町３丁目３番３号,石川県,金沢市,長町3丁目,3番3号,,36.56720591,136.6453501,14,,1,1,,1,1,,,,1,,,,,,
金沢市長土塀青少年交流センター,カナザワシナガドヘセイショウネンコウリュウセンター,kanazawashinagadoheseishonenkoryusenta,金沢市長町３丁目３番３号,石川県,金沢市,長町3丁目,3番3号,,36.56704004,136.6453662,14,,1,1,,1,1,,,,1,,,,,,
大和町防災拠点広場,ダイワマチボウサイキョテンヒロバ,daiwamachibosaikyotenhiroba,金沢市大和町１番１号,石川県,金沢市,大和町,1番1号,,36.56934947,136.6393514,40,,,1,,1,1,,,,,,,,,,
金沢市営中央市民体育館,カナザワシエイチュウオウシミンタイイクカン,kanazawashieichuoshimintaiikukan,金沢市長町３丁目３番３号,石川県,金沢市,長町3丁目,3番3号,,36.56651068,136.6455649,14,,1,1,,1,1,,,,1,,,,,,
穴水町児童公園,アナミズマチジドウコウエン,anamizumachijidokoen,金沢市長土塀１丁目151番地ほか,石川県,金沢市,長土塀1丁目,151番地ほか,,36.568975,136.648137,13,,,1,,1,1,,,,,,,,,,
